"Year","avgb","source"
"2010",53264.0181007148,"original"
"2010",70869.6881950095,"original"
"2010",70018.9396491742,"original"
"2010",72356.9673935662,"original"
"2010",63112.4613374931,"original"
"2010",54679.5374815932,"original"
"2010",41067.7160240907,"original"
"2010",57396.2678994616,"original"
"2010",75485.3304697248,"original"
"2010",61428.9258011499,"original"
"2010",64266.972633789,"original"
"2010",60962.8132844691,"original"
"2010",60516.8231185474,"original"
"2010",49771.6242195069,"original"
"2010",58144.6094207338,"original"
"2010",67029.1341123997,"original"
"2010",57245.0822934036,"original"
"2010",61612.1146091303,"original"
"2010",53846.614835462,"original"
"2010",57215.7141088277,"original"
"2010",70514.6344631337,"original"
"2010",67703.34020686,"original"
"2010",69977.5391932683,"original"
"2010",80829.0474142148,"original"
"2010",98679.5925467449,"original"
"2010",63324.1097420399,"original"
"2010",74041.9877841652,"original"
"2010",59819.0493097814,"original"
"2010",62215.2478224186,"original"
"2010",58132.0102144788,"original"
"2010",54917.2128962755,"original"
"2010",60623.1644322417,"original"
"2010",66067.5121146799,"original"
"2010",54263.0458017173,"original"
"2010",65842.0948510612,"original"
"2010",71278.9211100891,"original"
"2010",47254.898384303,"original"
"2010",73527.6633659141,"original"
"2010",55311.7104537248,"original"
"2010",63136.3992413052,"original"
"2010",80972.5225562405,"original"
"2010",47745.3518798331,"original"
"2010",65284.92735141,"original"
"2010",60731.8685151285,"original"
"2010",64603.6044085678,"original"
"2010",45066.5627252914,"original"
"2010",56178.2110173246,"original"
"2010",48260.6596654761,"original"
"2010",63333.2354590991,"original"
"2010",58094.4731450147,"original"
"2010",47823.8557892469,"original"
"2010",73416.2574047051,"original"
"2010",50303.3372898437,"original"
"2010",65914.9077168885,"original"
"2010",65848.5373212713,"original"
"2010",59111.8736532837,"original"
"2010",57252.2598779575,"original"
"2010",66485.868780882,"original"
"2010",42994.2425242475,"original"
"2010",60156.3141136324,"original"
"2010",58734.810738756,"original"
"2010",58360.4823711648,"original"
"2010",66604.7712925112,"original"
"2010",70202.4622573687,"original"
"2010",47957.1152672004,"original"
"2010",62693.2534502623,"original"
"2010",68618.4373513196,"original"
"2010",53489.498949662,"original"
"2010",74282.2223225532,"original"
"2010",75977.6043970309,"original"
"2010",62055.9777238121,"original"
"2010",77042.4116992559,"original"
"2010",49694.0436141544,"original"
"2010",63281.9810598353,"original"
"2010",79713.372466269,"original"
"2010",57997.5878552005,"original"
"2010",58211.2791364225,"original"
"2010",76015.4197969916,"original"
"2010",66944.5567600293,"original"
"2010",56620.48638713,"original"
"2010",70225.4989224719,"original"
"2010",66074.8480222861,"original"
"2010",71212.9142301664,"original"
"2010",55419.2785215147,"original"
"2010",38784.3958220651,"original"
"2010",55252.8048152037,"original"
"2010",42104.2477521747,"original"
"2010",56639.3371381894,"original"
"2010",75104.8211929501,"original"
"2010",58604.8932871706,"original"
"2010",67033.7926256976,"original"
"2010",67295.1655139264,"original"
"2010",67812.6828575361,"original"
"2010",60748.4554066586,"original"
"2010",73604.4958395947,"original"
"2010",57887.1072789325,"original"
"2010",83679.0477109217,"original"
"2010",50210.1218019436,"original"
"2010",75060.2718092677,"original"
"2010",46572.1644964507,"original"
"2010",85587.8978536503,"original"
"2010",71231.1339872642,"original"
"2010",51187.9622142902,"original"
"2010",64126.1494253051,"original"
"2010",57856.6873990883,"original"
"2010",58584.5896892574,"original"
"2010",65485.95604393,"original"
"2010",71818.1651061185,"original"
"2010",61575.5473484291,"original"
"2010",56549.8702271799,"original"
"2010",58622.0783565326,"original"
"2010",81753.2242959912,"original"
"2010",58978.2785327691,"original"
"2010",62320.1313112239,"original"
"2010",44474.7936996093,"original"
"2010",58509.0083840024,"original"
"2010",51342.5122575121,"original"
"2010",68594.7095394517,"original"
"2010",63141.1708769501,"original"
"2010",54131.44497828,"original"
"2010",71291.959179137,"original"
"2010",50040.5058257729,"original"
"2010",75239.5123483607,"original"
"2010",62978.9022171198,"original"
"2010",64050.4952255248,"original"
"2010",68028.7676175066,"original"
"2010",65572.5578399576,"original"
"2010",64969.4308254061,"original"
"2010",58810.754346114,"original"
"2010",57085.1058137677,"original"
"2010",58934.2989069942,"original"
"2010",78035.4040433729,"original"
"2010",64634.9096654219,"original"
"2010",54258.8028864985,"original"
"2010",70377.2208549492,"original"
"2010",65211.685321113,"original"
"2010",67941.9589969286,"original"
"2010",61968.6806075859,"original"
"2010",49979.7135118033,"original"
"2010",68632.0057669419,"original"
"2010",79310.3573943465,"original"
